County,TXST,UT Austin,Texas A&M,Texas Tech,Stephen F. Austin,UTSA,UNT,UH,Total,TXST_Share,Opportunity_Score
HARRIS,5386.0,6616.0,7908.0,2462.0,1572.0,2641.0,1081.0,13131.0,40797.0,13.201951123857148,3541100.0
BEXAR,2601.0,2290.0,2224.0,1293.0,20.0,9126.0,461.0,285.0,18300.0,14.21311475409836,1569900.0
DALLAS,1021.0,2854.0,2181.0,1483.0,475.0,154.0,5714.0,561.0,14443.0,7.069168455307069,1342200.0
COLLIN,969.0,3054.0,3219.0,2713.0,464.0,125.0,3253.0,332.0,14129.0,6.858234836152594,1316000.0
TARRANT,1081.0,2008.0,2293.0,1943.0,379.0,121.0,4853.0,360.0,13038.0,8.291148949225342,1195700.0
DENTON,448.0,945.0,1427.0,1401.0,218.0,58.0,3551.0,141.0,8189.0,5.470753449749664,774100.0
FORT BEND COU,544.0,794.0,943.0,294.0,108.0,442.0,129.0,2071.0,5325.0,10.215962441314554,478100.0
FORT BEND,699.0,783.0,1047.0,244.0,117.0,464.0,138.0,1909.0,5401.0,12.94204776893168,470200.00000000006
BRAZORIA,577.0,511.0,967.0,172.0,177.0,292.0,119.0,1370.0,4185.0,13.787335722819593,360800.0
LUBBOCK,86.0,99.0,92.0,2585.0,0.0,5.0,92.0,7.0,2966.0,2.8995279838165877,288000.0
EL PASO,342.0,782.0,320.0,803.0,0.0,363.0,127.0,17.0,2754.0,12.418300653594772,241200.0
GALVESTON COU,373.0,409.0,601.0,214.0,70.0,126.0,106.0,640.0,2539.0,14.690823158723907,216600.0
BRAZOS,117.0,172.0,1212.0,29.0,41.0,31.0,56.0,11.0,1669.0,7.010185739964051,155200.0
WEBB,200.0,410.0,343.0,6.0,0.0,596.0,12.0,26.0,1593.0,12.554927809165099,139300.0
ROCKWALL,130.0,145.0,288.0,370.0,131.0,11.0,307.0,0.0,1382.0,9.406657018813313,125199.99999999999
TAYLOR,106.0,76.0,232.0,496.0,11.0,13.0,150.0,76.0,1160.0,9.137931034482758,105400.0
MCLENNAN,151.0,197.0,366.0,152.0,7.0,10.0,263.0,7.0,1153.0,13.096270598438856,100200.0
KAUFMAN,94.0,58.0,216.0,135.0,116.0,5.0,275.0,7.0,906.0,10.375275938189846,81200.0
JOHNSON,108.0,55.0,202.0,223.0,20.0,0.0,288.0,0.0,896.0,12.053571428571429,78800.0
PARKER,58.0,78.0,235.0,300.0,12.0,0.0,114.0,0.0,797.0,7.277289836888332,73900.0
ANGELINA,50.0,37.0,157.0,11.0,505.0,0.0,0.0,8.0,768.0,6.510416666666667,71800.0
MIDLAND,68.0,88.0,146.0,407.0,0.0,21.0,45.0,0.0,775.0,8.774193548387096,70700.0
POTTER,14.0,107.0,107.0,381.0,0.0,0.0,51.0,0.0,660.0,2.1212121212121215,64600.0
SMITH,21.0,94.0,224.0,79.0,139.0,0.0,70.0,0.0,627.0,3.349282296650718,60600.0
ECTOR,67.0,87.0,57.0,246.0,0.0,86.0,52.0,0.0,595.0,11.260504201680673,52800.0
WICHITA,31.0,76.0,99.0,177.0,0.0,0.0,105.0,0.0,488.0,6.352459016393443,45700.0
NACOGDOCHES,11.0,8.0,31.0,0.0,338.0,0.0,5.0,0.0,393.0,2.7989821882951653,38200.0
GREGG,19.0,41.0,138.0,19.0,123.0,0.0,58.0,0.0,398.0,4.773869346733668,37900.0
HARRISON,29.0,42.0,83.0,24.0,122.0,0.0,60.0,17.0,377.0,7.6923076923076925,34800.0
NACOGDOCHES C,0.0,19.0,34.0,0.0,254.0,0.0,7.0,0.0,314.0,0.0,31400.0
STARR,19.0,88.0,66.0,0.0,0.0,134.0,0.0,0.0,307.0,6.188925081433225,28800.0
RANDALL,13.0,13.0,36.0,218.0,0.0,0.0,18.0,0.0,298.0,4.3624161073825505,28499.999999999996
TOM GREEN,20.0,40.0,43.0,139.0,0.0,18.0,10.0,0.0,270.0,7.4074074074074066,25000.0
GRAYSON,40.0,6.0,71.0,76.0,0.0,0.0,84.0,0.0,277.0,14.440433212996389,23700.0
TOM GREEN COU,23.0,27.0,48.0,103.0,0.0,5.0,7.0,0.0,213.0,10.7981220657277,19000.0
HALE,0.0,0.0,0.0,161.0,0.0,0.0,0.0,0.0,161.0,0.0,16100.0
WISE,0.0,0.0,42.0,67.0,0.0,0.0,51.0,0.0,160.0,0.0,16000.0
HUNT,6.0,5.0,6.0,18.0,11.0,0.0,90.0,0.0,136.0,4.411764705882353,13000.0
LIBERTY,20.0,0.0,59.0,0.0,33.0,0.0,0.0,37.0,149.0,13.422818791946309,12900.0
BOWIE,10.0,30.0,22.0,5.0,19.0,0.0,40.0,0.0,126.0,7.936507936507936,11600.0
POLK,5.0,11.0,49.0,0.0,53.0,0.0,0.0,0.0,118.0,4.23728813559322,11300.0
SHELBY,0.0,0.0,5.0,0.0,107.0,0.0,0.0,0.0,112.0,0.0,11200.0
HOPKINS,0.0,0.0,46.0,34.0,7.0,0.0,19.0,0.0,106.0,0.0,10600.0
JASPER,10.0,0.0,17.0,0.0,68.0,0.0,8.0,0.0,103.0,9.70873786407767,9300.0
NAVARRO,10.0,26.0,38.0,0.0,0.0,0.0,27.0,0.0,101.0,9.900990099009901,9100.0
